City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
433,Riohacha,CO,84.31,broken clouds,11.5444,-72.9072,Hotel Taroa
435,Panama City,PA,80.55,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
440,Jardim,BR,87.6,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
442,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
446,Isla Mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
447,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,hotel la terminal
450,Cururupu,BR,86.29,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
451,Azare,NG,75.02,clear sky,11.6765,10.1948,Mallam Ayuba Compound
452,Malindi,KE,75.87,few clouds,-3.2175,40.1191,African House Resort
453,Bontang,ID,77.61,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
454,Krabi,TH,83.05,few clouds,8.0726,98.9105,Tharapark View Hotel
457,Denpasar,ID,78.46,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
460,Salinas,US,75.0,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
467,Torrevieja,ES,78.73,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
469,Peniche,PT,78.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
470,Bull Savanna,JM,83.37,few clouds,17.8868,-77.5902,Big Red's
471,Filingué,NE,87.37,scattered clouds,14.3521,3.3168,
473,Jizan,SA,88.74,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
477,Gela,IT,80.28,few clouds,37.0803,14.2307,B&B Santiago
479,Mitsamiouli,KM,75.58,clear sky,-11.3847,43.2844,Foyer ADM
481,Bambanglipuro,ID,75.76,overcast clouds,-7.95,110.2833,Puri Brata
483,Doha,QA,89.58,clear sky,25.2867,51.5333,Mövenpick Doha
484,Bloomfield,US,87.96,broken clouds,40.8068,-74.1854,Troy Carroll
489,Manhattan,US,87.93,overcast clouds,40.7834,-73.9662,The Mark Hotel
492,Kupang,ID,77.36,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
493,Kasane,BW,82.72,overcast clouds,-17.8167,25.15,The Old House
494,Pahrump,US,83.95,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
495,Silver City,US,80.91,broken clouds,32.7701,-108.2803,Copper Manor Motel
497,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
498,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
501,Maningrida,AU,75.25,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
508,Phan Thiet,VN,75.81,overcast clouds,10.9333,108.1,Hotel Saigon-PT
511,Escanaba,US,79.95,broken clouds,45.7453,-87.0646,Sunset Lodge
519,Socorro,US,84.49,broken clouds,31.6546,-106.3033,guarderia imss papalote
527,São João da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
529,Gainesville,US,86.76,broken clouds,29.6516,-82.3248,Stayable Select
533,Guiratinga,BR,88.2,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
535,Tūkrah,LY,76.48,clear sky,32.5341,20.5791,Lagrota restaurant
537,Manga,BF,78.1,light rain,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
538,Batticaloa,LK,80.47,overcast clouds,7.7102,81.6924,Grand Star Guest House
539,Olinda,BR,80.33,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
550,San Policarpo,PH,78.04,overcast clouds,12.1791,125.5072,Agapita M. Nicart
553,Black Diamond,US,75.15,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
554,Kendallville,US,81.66,clear sky,41.4414,-85.265,Best Western Kendallville Inn
557,Punta de Piedra,VE,87.4,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
561,Maumere,ID,78.53,overcast clouds,-8.6199,122.2111,Sylvia Hotel
562,Russell,US,88.88,clear sky,32.3502,-85.1999,Macs
564,Winslow,US,84.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
571,Ko Samui,TH,82.31,overcast clouds,9.5357,99.9357,The Passage
575,Cuamba,MZ,78.85,clear sky,-14.8031,36.5372,Hotel Vision
579,Meulaboh,ID,75.69,overcast clouds,4.1363,96.1285,Kost Pria
583,Teodoro Sampaio,BR,85.14,overcast clouds,-22.5325,-52.1675,Hotel do Senhor
586,Porbandar,IN,80.4,few clouds,21.6422,69.6093,Lords Inn Porbandar
592,Pattoki,PK,80.33,clear sky,31.0167,73.85,Lahore HARDWARE store
595,Lata,PT,76.91,overcast clouds,40.1629,-8.3327,Casa Maquia
596,Nago,JP,81.03,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
598,Corn Island,NI,82.87,broken clouds,12.1694,-83.0418,Big Fish Guest House
600,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
601,Dinghaicun,CN,79.72,broken clouds,26.2847,119.7936,Shanhai Hotel
605,Māngrol,IN,79.88,broken clouds,21.1167,70.1167,Hotel The Royal Honours
608,Bela,IN,81.7,moderate rain,25.9333,81.9833,Raj Bhawan
610,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
612,Kamaishi,JP,76.5,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
616,Macao,MO,85.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
618,Saurimo,AO,75.06,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
620,Santa Isabel,BR,82.11,few clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
623,Gayéri,BF,82.38,light rain,12.6497,0.4931,
625,Gushikawa,JP,80.19,broken clouds,26.3544,127.8686,Kirari Guest House
627,Minot,US,82.62,clear sky,48.2325,-101.2963,Noble Inn
628,Abonnema,NG,75.76,light rain,4.7084,6.7931,Corper's Lodge Obonoma
631,Yenagoa,NG,75.07,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
632,Kieta,PG,77.79,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
639,Sussex,US,83.08,scattered clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
640,Jiazi,CN,79.68,few clouds,22.8779,116.067,Hotel Jin Hao
650,Auki,SB,76.23,overcast clouds,-8.7676,160.7034,Auki Motel
651,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
652,Finschhafen,PG,76.55,heavy intensity rain,-6.6024,147.8681,Oasis Gagidu Ltd
655,Rawlins,US,76.89,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
657,Chinna Salem,IN,80.58,overcast clouds,11.65,78.9,SVA Lodge
658,Brazzaville,CG,84.83,clear sky,-4.2658,15.2832,Hotel Muesse
661,Kloulklubed,PW,83.32,light rain,7.0419,134.2556,Storyboard Beach Resort
672,Caruray,PH,80.13,overcast clouds,10.3094,119.0128,
673,Panabá,MX,87.87,few clouds,21.2833,-88.2667,Hotel Don Fernando
